Name-CN,Name-EN,图标分类-CN,图标分类-EN,动效图标,图标预览,LTR,图标标签,UI 设计负责人
拐杖,a-cane,服饰,Clothes,,image.png,是,工具，登山杖，拐杖，木棍,马玉欣
腹部,abdominal,医疗健康,Health,,image.png,否,肚子，腹，腰,常留留
异常,abnormal,办公文档,Office,,image.png,是,报错，提示，提醒,田婧
飞机加速,acceleration,交通旅游,Travel,,image.png,是,加速，加速度，超音速，快速，飞行气流,张文珠
接受邮件,accept-email,办公文档,Office,,image.png,是,邮件，收件箱，转发邮件，回复邮件,齐奉飞
声波,acoustic,多媒体音乐,Music,,image.png,否,音频，音量，语音，录音，波纹，声音,常留留
活动源,activity-source,数据图表,Charts,,image.png,是,数据库，数据源，活动源,常留留
广告,ad,符号标识,Character,,image.png,是,广告符号，标志,金磊
广告产品,ad-product,抽象图形,Abstract,,image.png,是,广告产品，抽象，盒子，箱子，立体,常留留
添加,add,符号标识,Character,,image.png,否,新建，增加，创建,常留留
计算机添加,add-computer,硬件,Hardware,,add-computer.jpg,是,,杨威
添加,add-four,编辑,Edit,,image.png,否,聚焦，精准，扫描，识别，添加,夏立诚
添加同级条目,add-item,编辑,Edit,,image.png,是,添加同级条目，拖拽，复制,金磊
增加模式,add-mode,编辑,Edit,,image.png,是,模式，亮度，对比度，增加,李宁
添加音乐,add-music,多媒体音乐,Music,,image.png,是,播放，音乐，添加,林琳
添加,add-one,符号标识,Character,是,image.png,否,新建，增加，创建,常留留
增加图片,add-pic,编辑,Edit,,image.png,是,添加，图片，相册,李宁
图片添加,add-picture,办公文档,Office,,add-picture.jpg,是,,杨威
加印,add-print,办公文档,Office,,image.png,否,印记，印章，打印，印刷,田婧
添加子条目,add-subset,编辑,Edit,,image.png,是,添加子条目，创建,金磊
加减,add-subtract,电商财产,Money,,image.png,是,算数，计算,史晓彤
文字大小,add-text,编辑,Edit,,image.png,是,编辑，书写，文案，文字大小,夏立诚
文字,add-text-two,编辑,Edit,,image.png,是,文字，编辑，书写，文案,夏立诚
添加,add-three,编辑,Edit,,image.png,否,聚焦，精准，扫描，识别，添加,夏立诚
添加2,add-two,其它,Others,,add-two.jpg,是,,杨威
添加用户,add-user,用户人名,Peoples,,image.png,否,添加，增加，人群扩充，用户，个人中心，我的，人,金磊
添加网页,add-web,办公文档,Office,,add-web.jpg,是,,杨威
通讯录,address-book,用户人名,Peoples,,image.png,是,通讯录 联系人,金磊
相邻条目,adjacent-item,编辑,Edit,,image.png,是,相邻条目，链接，排序,金磊
加减调整,adjustment,编辑,Edit,,image.png,是,加减调整，计算,金磊
adobe-illustrate,adobe-illustrate,品牌,Brand,,image.png,是,软件，应用，工具，设计，logo，ai,齐奉飞
adobe-indesign,adobe-indesign,品牌,Brand,,image.png,是,软件，应用，工具，设计，logo，id,齐奉飞
adobe-lightroom,adobe-lightroom,品牌,Brand,,image.png,是,软件，应用，工具，设计，logo，lr,齐奉飞
adobe-photoshop,adobe-photoshop,品牌,Brand,,image.png,是,软件，应用，工具，设计，logo，ps,齐奉飞
传入,afferent,编辑,Edit,,image.png,是,传送，传输，向左，箭头,夏立诚
传入4,afferent-four,箭头方向,Arrows,,afferent-four.jpg,是,,杨威
传入3,afferent-three,箭头方向,Arrows,,afferent-three.jpg,是,,杨威
传入,afferent-two,编辑,Edit,,image.png,是,传送，传输，向左，箭头,夏立诚
发簪,afro-pick,化妆美妆,Makeups,,image.png,是,发箍，发夹，发簪,
协议,agreement,办公文档,Office,是,image.png,是,文档，规则，详情，文章，短文，合同,田婧
瞄准,aiming,基础,Base,,image.png,否,瞄准，聚焦，关注，锁定，定位,常留留
空气自行车,air-bike,体育运动,Sports,,air-bike.jpg,是,,杨威
